league,fixtures,tip,odd,match_time,score,date,flag,result,code,source,rate,avg_point,correct_score,"fixtures_link, league_slug"
RU5,Belgorod vs Dizelist,2,,12:00,3 - 12,23-01-2026,Russia - ru,Won,uxthshxk164666683,fb_hockey,17 - 83,6.2,3 - 12,https://www.forebet.com/en/hockey/matches/nmhl/belgorod-dizelist/355512,nmhl
,New Zealand U18 W vs Latvia U18 W,2,,12:00,0 - 4,23-01-2026, - 230,Won,isfjpwmr294824932,fb_hockey,30 - 70,6.2,0 - 4,https://www.forebet.com/en/hockey/matches/wch-u18-iia-women/new-zealand-u18-w-latvia-u18-w/364367,wch-u18-iia-women
RU4,Omskie Yastreby vs Snezhnye Barsy,1,,14:30,6 - 1,23-01-2026,Russia - ru,Won,fjrjwtdo216077016,fb_hockey,84 - 16,6.3,6 - 1,https://www.forebet.com/en/hockey/matches/mhl/omskie-yastreby-snezhnye-barsy/343027,mhl
RU5,Kristall BDK vs Bobrov,2,,15:00,1 - 4,23-01-2026,Russia - ru,Won,amfzahsx103477449,fb_hockey,43 - 57,6.7,1 - 4,https://www.forebet.com/en/hockey/matches/nmhl/kristall-bdk-bobrov/355509,nmhl
ELJ,Kometa Brno U20 vs Ceske Budejovice U20,1,,15:00,7 - 2,23-01-2026,Czech Republic - cz,Won,ycgxghjj180888891,fb_hockey,58 - 42,6.4,7 - 2,https://www.forebet.com/en/hockey/matches/elj/kometa-brno-u20-ceske-budejovice-u20/363783,elj
,Netherlands U18 W vs Kazakhstan U18 W,2,,15:30,0 - 7,23-01-2026, - 230,Won,zlqiewtp95316138,fb_hockey,39 - 61,7.6,0 - 7,https://www.forebet.com/en/hockey/matches/wch-u18-iia-women/netherlands-u18-w-kazakhstan-u18-w/364368,wch-u18-iia-women
RU4,Mamonty Yugry vs Sibirskie Snaipery,1,,16:00,4 - 5,23-01-2026,Russia - ru,Lost,qcmabede168490193,fb_hockey,56 - 44,4.5,4 - 5,https://www.forebet.com/en/hockey/matches/mhl/mamonty-yugry-sibirskie-snaipery/343028,mhl
RU2,Perm vs Krasnoyarsk,1,,16:00,3 - 4,23-01-2026,Russia - ru,Lost,ufscbqhe121949016,fb_hockey,68 - 32,5.1,3 - 4,https://www.forebet.com/en/hockey/matches/vhl/perm-krasnoyarsk/346945,vhl
RU5,Fakel vs Tverichi,1,,16:00,6 - 2,23-01-2026,Russia - ru,Won,eorpcosc50247746,fb_hockey,71 - 29,5.7,6 - 2,https://www.forebet.com/en/hockey/matches/nmhl/fakel-tverichi/355510,nmhl
ELJ,Mountfield HK U20 vs Vitkovice U20,1,,16:00,0 - 5,23-01-2026,Czech Republic - cz,Lost,ooiksixo308575371,fb_hockey,61 - 39,5.7,0 - 5,https://www.forebet.com/en/hockey/matches/elj/mountfield-hk-u20-vitkovice-u20/363785,elj
FIU,Jyvaskyla U20 vs RoKi U20,1,,17:00,6 - 1,23-01-2026,Finland - fi,Won,ehpquuqh274675433,fb_hockey,68 - 32,7,6 - 1,https://www.forebet.com/en/hockey/matches/sm-sarja-u20/jyvaskyla-u20-roki-u20/344716,sm-sarja-u20
FIU,KooKoo U20 vs Jokerit U20,1,,17:00,1 - 4,23-01-2026,Finland - fi,Lost,pqjggnco262173877,fb_hockey,53 - 46,5.3,1 - 4,https://www.forebet.com/en/hockey/matches/sm-sarja-u20/kookoo-u20-jokerit-u20/344717,sm-sarja-u20
FIU,SaiPa U20 vs KalPa U20,2,,17:00,8 - 2,23-01-2026,Finland - fi,Lost,gqhdzjzs44270245,fb_hockey,41 - 59,6.6,8 - 2,https://www.forebet.com/en/hockey/matches/sm-sarja-u20/saipa-u20-kalpa-u20/344718,sm-sarja-u20
FIU,Vaasan Sport U20 vs Lukko U20,2,,17:00,1 - 2,23-01-2026,Finland - fi,Won,preejihd64328247,fb_hockey,44 - 56,5.7,1 - 2,https://www.forebet.com/en/hockey/matches/sm-sarja-u20/vaasan-sport-u20-lukko-u20/344721,sm-sarja-u20
RU1,Lada vs Dynamo Moscow,1,,17:00,2 - 1,23-01-2026,Russia - ru,Won,wehkxblx133993170,fb_hockey,54 - 46,5.5,2 - 1,https://www.forebet.com/en/hockey/matches/khl/lada-dynamo-moscow/346114,khl
RU4,MHC Spartak vs SKA-1946,1,,17:30,4 - 3,23-01-2026,Russia - ru,Won,svmdhlxv163757520,fb_hockey,55 - 45,5.6,4 - 3,https://www.forebet.com/en/hockey/matches/mhl/mhc-spartak-ska-1946/343029,mhl
RU4,Reaktor vs Molot Perm,1,,17:30,1 - 3,23-01-2026,Russia - ru,Lost,hkployrm134051105,fb_hockey,64 - 36,6.4,1 - 3,https://www.forebet.com/en/hockey/matches/mhl/reaktor-molot-perm/343030,mhl
RU2,Khimik vs Kurgan,1,,17:30,3 - 1,23-01-2026,Russia - ru,Won,ngkyyzfe135770964,fb_hockey,65 - 35,5.5,3 - 1,https://www.forebet.com/en/hockey/matches/vhl/khimik-kurgan/346946,vhl
RU2,Torpedo Gorky vs Omskie Krylia,2,,17:30,2 - 1,23-01-2026,Russia - ru,Lost,yqqpxyaz293064251,fb_hockey,44 - 56,4.9,2 - 1,https://www.forebet.com/en/hockey/matches/vhl/torpedo-gorky-omskie-krylia/346947,vhl
RU2,Zvezda Moscow vs Rubin Tyumen,1,,17:30,1 - 3,23-01-2026,Russia - ru,Lost,ggpqxyog250662566,fb_hockey,54 - 46,4.4,1 - 3,https://www.forebet.com/en/hockey/matches/vhl/zvezda-moscow-rubin-tyumen/346948,vhl
EXL,Novopolotsk vs Brest,2,,17:30,3 - 1,23-01-2026,Belarus - by,Lost,hujaghok7737143,fb_hockey,43 - 57,5.2,3 - 1,https://www.forebet.com/en/hockey/matches/extraleague/novopolotsk-brest/360396,extraleague
ELJ,Zlin U20 vs Poruba U20,2,,17:30,3 - 4,23-01-2026,Czech Republic - cz,Won,mryhyxbu15690946,fb_hockey,35 - 65,6.8,3 - 4,https://www.forebet.com/en/hockey/matches/elj/zlin-u20-poruba-u20/363788,elj
RU4,AKM-Junior vs Mikhaylov Academy U20,2,,18:00,1 - 6,23-01-2026,Russia - ru,Won,ltonmacq52314998,fb_hockey,38 - 62,6.1,1 - 6,https://www.forebet.com/en/hockey/matches/mhl/akm-junior-mikhaylov-academy-u20/343031,mhl
RU4,Atlant vs Din. St. Petersburg,1,,18:00,3 - 2,23-01-2026,Russia - ru,Won,kmyihhoh78865091,fb_hockey,55 - 45,6.1,3 - 2,https://www.forebet.com/en/hockey/matches/mhl/atlant-din-st-petersburg/343032,mhl
RU4,Krylya Sovetov vs Tayfun,1,,18:00,4 - 2,23-01-2026,Russia - ru,Won,kgbnzpvr238140027,fb_hockey,58 - 42,5.9,4 - 2,https://www.forebet.com/en/hockey/matches/mhl/krylya-sovetov-tayfun/343033,mhl
FIU,IFK Helsinki U20 vs Kiekko-Espoo U20,2,,18:00,4 - 3,23-01-2026,Finland - fi,Lost,fxedabpz90262810,fb_hockey,34 - 66,4.2,4 - 3,https://www.forebet.com/en/hockey/matches/sm-sarja-u20/ifk-helsinki-u20-kiekko-espoo-u20/344719,sm-sarja-u20
FIU,Jukurit U20 vs Assat U20,1,,18:00,4 - 5,23-01-2026,Finland - fi,Lost,rmsjazpb200311466,fb_hockey,56 - 44,5.4,4 - 5,https://www.forebet.com/en/hockey/matches/sm-sarja-u20/jukurit-u20-assat-u20/344720,sm-sarja-u20
RU2,Olympia vs Metallurg Novokuznetsk,2,,18:00,3 - 4,23-01-2026,Russia - ru,Won,tmzjwsus246121776,fb_hockey,28 - 72,5.2,3 - 4,https://www.forebet.com/en/hockey/matches/vhl/olympia-metallurg-novokuznetsk/346949,vhl
