league,match,prediction_type,tip,date,odd
League,FC Urartu Yerevan - FC Van Charentsavan,GG/NG,yes,"May 28, 15:00.utc",1.58
Libertadore,Estudiantes de La Plata - Carabobo FC,GG/NG,yes,"May 28, 00:30.utc",2.95
22.null,wisla plock - polonia warszawa,,,"Jan 1, 01:00.utc",1.1
Urvalsdeild,Vestri - Vikingur Reykjavik,Both Teams To Score,both teams to score - yes,"May 29, 14:00.utc",1.66
Cup,Malmo - Hacken Gothenburg,GG/NG,yes,"May 29, 14:00.utc",1.79
Libertadore,SE Palmeiras SP - Sporting Cristal,GG/NG,yes,"May 29, 00:30.utc",2.45
MLS,D.C. United - New England Revolution,Both Teams To Score,both teams to score - yes,"May 28, 22:30.utc",1.64
Cup 2026 Quali,Faroe Islands - Gibraltar,Both Teams To Score,both teams to score - no,"Jun 9, 18:45.utc",1.44
28.null,spain - france,,,"Jan 1, 01:00.utc",1.1
29.null,germany - portugal,,,"Jan 1, 01:00.utc",1.1
MLS,Nashville - New York City,Both Teams To Score,both teams to score - yes,"May 31, 19:30.utc",1.6
MLS,St. Louis City - San Jose Earthquakes,Both Teams To Score,both teams to score - yes,"May 31, 17:30.utc",1.64
32.A-League,Melbourne City FC - Melbourne Victory,GG/NG,yes,"May 31, 09:40.utc",1.64
Lig,Galatasaray Istanbul - Istanbul BB,GG/NG,yes,"May 30, 17:00.utc",1.54
deild,Breidablik Kopavogur - IA Akranes,GG/NG,yes,"May 29, 16:15.utc",1.51
38.Esiliiga,Viimsi JK - FC Nomme United,GG/NG,yes,"May 29, 16:00.utc",1.47
42.Eliteserien,SK Brann - Molde,GG/NG,yes,"May 29, 16:00.utc",1.63
Pokalen,Copenhagen - Silkeborg IF,GG/NG,yes,"May 29, 15:00.utc",1.81
MLS,Vancouver Whitecaps - Minnesota United,Both Teams To Score,both teams to score - yes,"May 29, 01:30.utc",1.69
MLS,Portland Timbers - Colorado Rapids,Both Teams To Score,both teams to score - yes,"May 29, 01:30.utc",1.5
MLS,Toronto - Philadelphia Union,Both Teams To Score,both teams to score - yes,"May 28, 22:30.utc",1.62
MLS,Cincinnati - Dallas,Both Teams To Score,both teams to score - yes,"May 28, 22:30.utc",1.66
48.null,blauw geel 38 - vv noordwijk,,,"Jan 1, 01:00.utc",1.1
Playoff,1. FC Lokomotive Leipzig - TSV Havelse,GG/NG,yes,"May 28, 16:45.utc",1.61
B,FC Nomme United - FC Phoenix Johvi,GG/NG,yes,"May 28, 15:00.utc",1.32
Friendlies,ASEAN All Stars - Manchester United,Both Teams To Score,both teams to score - yes,"May 28, 12:45.utc",1.5
2.null,man city - newcastle,,,"Jan 1, 01:00.utc",1.1
3.null,west ham - brentford fc,,,"Jan 1, 01:00.utc",1.1
4.null,southampton - bournemouth,,,"Jan 1, 01:00.utc",1.1
5.null,brighton - chelsea,,,"Jan 1, 01:00.utc",1.1
6.null,nk celje - apoel nikosia,,,"Jan 1, 01:00.utc",1.1
