Fixture ID,League,League Logo,League Flag,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score
1516361,Asian Cup Women,https://media.api-sports.io/football/leagues/897.png,,South Korea W,https://media.api-sports.io/football/teams/1728.png,Iran W,https://media.api-sports.io/football/teams/16932.png,,
1527523,Premier League,https://media.api-sports.io/football/leagues/569.png,https://media.api-sports.io/flags/kg.svg,Kara-Balta,https://media.api-sports.io/football/teams/12238.png,OshMU Aldier,https://media.api-sports.io/football/teams/21168.png,,
1503466,National League,https://media.api-sports.io/football/leagues/588.png,https://media.api-sports.io/flags/mm.svg,Rakhine United,https://media.api-sports.io/football/teams/12527.png,Shan United,https://media.api-sports.io/football/teams/8015.png,,
1522178,Victoria NPL 2,https://media.api-sports.io/football/leagues/836.png,https://media.api-sports.io/flags/au.svg,Bulleen Lions,https://media.api-sports.io/football/teams/16781.png,Eltham Redbacks FC,https://media.api-sports.io/football/teams/27511.png,,
1527267,South Australia State League 1,https://media.api-sports.io/football/leagues/834.png,https://media.api-sports.io/flags/au.svg,Adelaide Blue Eagles,https://media.api-sports.io/football/teams/3784.png,The Cove,https://media.api-sports.io/football/teams/25459.png,,
1391555,Premier League,https://media.api-sports.io/football/leagues/333.png,https://media.api-sports.io/flags/ua.svg,SK Poltava,https://media.api-sports.io/football/teams/17165.png,Kudrivka,https://media.api-sports.io/football/teams/21953.png,,
1470717,FKF Premier League,https://media.api-sports.io/football/leagues/276.png,https://media.api-sports.io/flags/ke.svg,Bidco United,https://media.api-sports.io/football/teams/2493.png,Ulinzi Stars,https://media.api-sports.io/football/teams/2474.png,,
1470720,FKF Premier League,https://media.api-sports.io/football/leagues/276.png,https://media.api-sports.io/flags/ke.svg,Mara Sugar,https://media.api-sports.io/football/teams/19483.png,Sofapaka,https://media.api-sports.io/football/teams/2470.png,,
1470724,FKF Premier League,https://media.api-sports.io/football/leagues/276.png,https://media.api-sports.io/flags/ke.svg,Homeboyz,https://media.api-sports.io/football/teams/2462.png,APS Bomet,https://media.api-sports.io/football/teams/19476.png,,
1520998,Premier League,https://media.api-sports.io/football/leagues/342.png,https://media.api-sports.io/flags/am.svg,Gandzasar,https://media.api-sports.io/football/teams/688.png,FC Noah,https://media.api-sports.io/football/teams/3684.png,,
1525642,First League,https://media.api-sports.io/football/leagues/343.png,https://media.api-sports.io/flags/am.svg,Ararat II,https://media.api-sports.io/football/teams/3688.png,Banants II,https://media.api-sports.io/football/teams/3690.png,,
1525643,First League,https://media.api-sports.io/football/leagues/343.png,https://media.api-sports.io/flags/am.svg,Hayq,https://media.api-sports.io/football/teams/26197.png,Bentonit Ijevan,https://media.api-sports.io/football/teams/24965.png,,
1525644,First League,https://media.api-sports.io/football/leagues/343.png,https://media.api-sports.io/flags/am.svg,Sardarapat,https://media.api-sports.io/football/teams/26198.png,Shirak II,https://media.api-sports.io/football/teams/3697.png,,
1498041,Liga Revelação U23,https://media.api-sports.io/football/leagues/701.png,https://media.api-sports.io/flags/pt.svg,Farense U23,https://media.api-sports.io/football/teams/17474.png,Vizela U23,https://media.api-sports.io/football/teams/17475.png,,
